Valor,Companhia Aérea,Horário de Voo,Dia da Semana Ida,Dias de Viagem,Data Ida
1380.0,Ethiopian Airlines,17:30,Seg,21, 12 Set 2022 
1456.0,Ethiopian Airlines,17:30,Seg,9, 30 Mai 2022 
1456.0,Ethiopian Airlines,17:30,Sáb,7, 4 Jun 2022 
1456.0,Ethiopian Airlines,17:30,Sáb,4, 4 Jun 2022 
1456.0,Ethiopian Airlines,17:30,Seg,9, 6 Jun 2022 
1462.0,Ethiopian Airlines,17:00,Seg,5, 31 Out 2022 
1462.0,Ethiopian Airlines,17:00,Seg,9, 7 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Seg,5, 7 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Qua,7, 9 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Sáb,4, 12 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Seg,7, 21 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Qua,7, 23 Nov 2022 
1462.0,Ethiopian Airlines,17:00,Seg,5, 2 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,21, 2 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,9, 2 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 2 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,10, 4 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 4 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,9, 7 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 7 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 9 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 11 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,5, 11 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 14 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 16 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 18 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 21 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 23 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 25 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 28 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 30 Jan 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 1 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 4 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 6 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Qua,7, 8 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 11 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 13 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Sáb,7, 18 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Seg,14, 20 Fev 2023 
1462.0,Ethiopian Airlines,17:00,Seg,7, 27 Fev 2023 
